Team,Well,Fluor,Target,Content,Sample,dilution,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
1-Goat,A01,SYBR,blaTEM,Unkn,tube 1,10^8,10.02304913,10.02304913,0,NaN,NaN,NaN,0,60,
1-Goat,A02,SYBR,blaTEM,Unkn,tube 1,10^8,9.822954354,9.822954354,0,NaN,NaN,NaN,0,60,
2-Indie,A03,SYBR,blaTEM,Unkn,tube 1,10^8,11.0696888,11.0696888,0,NaN,NaN,NaN,0,60,
2-Indie,A04,SYBR,blaTEM,Unkn,tube 1,10^8,9.07342358,9.07342358,0,NaN,NaN,NaN,0,60,
3-musk,A05,SYBR,blaTEM,Unkn,tube 1,10^8,32.92429836,32.92429836,0,NaN,NaN,NaN,0,60,
1-Goat,A06,SYBR,blaTEM,Unkn,T1-gDNA,S2-rep1,30.73720139,30.73720139,0,NaN,NaN,NaN,0,60,
4-unicorn,A07,SYBR,tetW,Unkn,tube 1,10^8,10.42632888,10.42632888,0,NaN,NaN,NaN,0,60,
4-unicorn,A08,SYBR,tetW,Unkn,tube 1,10^8,9.919474643,9.919474643,0,NaN,NaN,NaN,0,60,
5-okazaki,A09,SYBR,tetW,Unkn,tube 1,10^8,11.67427159,11.67427159,0,NaN,NaN,NaN,0,60,
5-okazaki,A10,SYBR,tetW,Unkn,tube 1,10^8,11.60716621,11.60716621,0,NaN,NaN,NaN,0,60,
6-waffle,A11,SYBR,tetW,Unkn,tube 1,10^8,32.60365573,32.60365573,0,NaN,NaN,NaN,0,60,
4-unicorn,A12,SYBR,tetW,Unkn,T4-gDNA,ID-DO,33.24891846,33.24891846,0,NaN,NaN,NaN,0,60,
1-Goat,B01,SYBR,blaTEM,Unkn,tube 3,10^6,17.00594098,17.00594098,0,NaN,NaN,NaN,0,60,
1-Goat,B02,SYBR,blaTEM,Unkn,tube 3,10^6,16.80530096,16.80530096,0,NaN,NaN,NaN,0,60,
2-Indie,B03,SYBR,blaTEM,Unkn,tube 3,10^6,20.51761896,20.51761896,0,NaN,NaN,NaN,0,60,
2-Indie,B04,SYBR,blaTEM,Unkn,tube 3,10^6,18.56516072,18.56516072,0,NaN,NaN,NaN,0,60,
3-musk,B05,SYBR,blaTEM,Unkn,tube 3,10^6,33.01412029,33.01412029,0,NaN,NaN,NaN,0,60,
1-Goat,B06,SYBR,blaTEM,Unkn,T1-gDNA,S2-rep2,32.19430031,32.19430031,0,NaN,NaN,NaN,0,60,
4-unicorn,B07,SYBR,tetW,Unkn,tube 3,10^6,17.57092073,17.57092073,0,NaN,NaN,NaN,0,60,
4-unicorn,B08,SYBR,tetW,Unkn,tube 3,10^6,17.78360672,17.78360672,0,NaN,NaN,NaN,0,60,
5-okazaki,B09,SYBR,tetW,Unkn,tube 3,10^6,17.05787399,17.05787399,0,NaN,NaN,NaN,0,60,
5-okazaki,B10,SYBR,tetW,Unkn,tube 3,10^6,16.83519729,16.83519729,0,NaN,NaN,NaN,0,60,
6-waffle,B11,SYBR,tetW,Unkn,tube 3,10^6,37.60538667,37.60538667,0,NaN,NaN,NaN,0,60,
4-unicorn,B12,SYBR,tetW,Unkn,T4-gDNA,ID-EP,NaN,0,0,NaN,NaN,0,0,60,
1-Goat,C01,SYBR,blaTEM,Unkn,tube 5,10^4,24.58918374,24.58918374,0,NaN,NaN,NaN,0,60,
1-Goat,C02,SYBR,blaTEM,Unkn,tube 5,10^4,24.84007475,24.84007475,0,NaN,NaN,NaN,0,60,
2-Indie,C03,SYBR,blaTEM,Unkn,tube 5,10^4,29.1484779,29.1484779,0,NaN,NaN,NaN,0,60,
2-Indie,C04,SYBR,blaTEM,Unkn,tube 5,10^4,26.55267235,26.55267235,0,NaN,NaN,NaN,0,60,
3-musk,C05,SYBR,blaTEM,Unkn,tube 5,10^4,30.05889963,30.05889963,0,NaN,NaN,NaN,0,60,
2-Indie,C06,SYBR,blaTEM,Unkn,T2-gDNA,ID-1,33.84294188,33.84294188,0,NaN,NaN,NaN,0,60,
4-unicorn,C07,SYBR,tetW,Unkn,tube 5,10^4,24.05106001,24.05106001,0,NaN,NaN,NaN,0,60,
4-unicorn,C08,SYBR,tetW,Unkn,tube 5,10^4,24.28878129,24.28878129,0,NaN,NaN,NaN,0,60,
5-okazaki,C09,SYBR,tetW,Unkn,tube 5,10^4,24.30941183,24.30941183,0,NaN,NaN,NaN,0,60,
5-okazaki,C10,SYBR,tetW,Unkn,tube 5,10^4,23.79205454,23.79205454,0,NaN,NaN,NaN,0,60,
6-waffle,C11,SYBR,tetW,Unkn,tube 5,10^4,35.05524946,35.05524946,0,NaN,NaN,NaN,0,60,
5-okazaki,C12,SYBR,tetW,Unkn,T5-gDNA,ID-2,31.39476501,31.39476501,0,NaN,NaN,NaN,0,60,
1-Goat,D01,SYBR,blaTEM,Unkn,tube 7,10^2,30.77755075,30.77755075,0,NaN,NaN,NaN,0,60,
1-Goat,D02,SYBR,blaTEM,Unkn,tube 7,10^2,31.57202452,31.57202452,0,NaN,NaN,NaN,0,60,
2-Indie,D03,SYBR,blaTEM,Unkn,tube 7,10^2,32.61928158,32.61928158,0,NaN,NaN,NaN,0,60,
2-Indie,D04,SYBR,blaTEM,Unkn,tube 7,10^2,32.16308594,32.16308594,0,NaN,NaN,NaN,0,60,
3-musk,D05,SYBR,blaTEM,Unkn,tube 7,10^2,23.16629418,23.16629418,0,NaN,NaN,NaN,0,60,
2-Indie,D06,SYBR,blaTEM,Unkn,T2-gDNA,ID-3,33.15696057,33.15696057,0,NaN,NaN,NaN,0,60,
4-unicorn,D07,SYBR,tetW,Unkn,tube 7,10^2,30.13519042,30.13519042,0,NaN,NaN,NaN,0,60,
4-unicorn,D08,SYBR,tetW,Unkn,tube 7,10^2,29.97875307,29.97875307,0,NaN,NaN,NaN,0,60,
5-okazaki,D09,SYBR,tetW,Unkn,tube 7,10^2,27.9578017,27.9578017,0,NaN,NaN,NaN,0,60,
5-okazaki,D10,SYBR,tetW,Unkn,tube 7,10^2,27.86188709,27.86188709,0,NaN,NaN,NaN,0,60,
6-waffle,D11,SYBR,tetW,Unkn,tube 7,10^2,26.32423439,26.32423439,0,NaN,NaN,NaN,0,60,
5-okazaki,D12,SYBR,tetW,Unkn,T5-gDNA,ID-3,28.64922402,28.64922402,0,NaN,NaN,NaN,0,60,
1-Goat,E01,SYBR,blaTEM,Unkn,tube 8,10^1,31.88662455,31.88662455,0,NaN,NaN,NaN,0,60,
1-Goat,E02,SYBR,blaTEM,Unkn,tube 8,10^1,32.40466731,32.40466731,0,NaN,NaN,NaN,0,60,
2-Indie,E03,SYBR,blaTEM,Unkn,tube 8,10^1,34.18469766,34.18469766,0,NaN,NaN,NaN,0,60,
2-Indie,E04,SYBR,blaTEM,Unkn,tube 8,10^1,32.90200443,32.90200443,0,NaN,NaN,NaN,0,60,
3-musk,E05,SYBR,blaTEM,Unkn,tube 8,10^1,16.48144437,16.48144437,0,NaN,NaN,NaN,0,60,
3-musk,E06,SYBR,blaTEM,Unkn,T3-gDNA,ID-285,32.16798213,32.16798213,0,NaN,NaN,NaN,0,60,
4-unicorn,E07,SYBR,tetW,Unkn,tube 8,10^1,32.00561145,32.00561145,0,NaN,NaN,NaN,0,60,
4-unicorn,E08,SYBR,tetW,Unkn,tube 8,10^1,32.12554336,32.12554336,0,NaN,NaN,NaN,0,60,
5-okazaki,E09,SYBR,tetW,Unkn,tube 8,10^1,28.40804669,28.40804669,0,NaN,NaN,NaN,0,60,
5-okazaki,E10,SYBR,tetW,Unkn,tube 8,10^1,28.10302729,28.10302729,0,NaN,NaN,NaN,0,60,
6-waffle,E11,SYBR,tetW,Unkn,tube 8,10^1,19.70744975,19.70744975,0,NaN,NaN,NaN,0,60,
6-waffle,E12,SYBR,tetW,Unkn,T6-gDNA,ID-1,18.38322272,18.38322272,0,NaN,NaN,NaN,0,60,
1-Goat,F01,SYBR,blaTEM,Unkn,tube 9,10^0,31.56197495,31.56197495,0,NaN,NaN,NaN,0,60,
1-Goat,F02,SYBR,blaTEM,Unkn,tube 9,10^0,33.43432964,33.43432964,0,NaN,NaN,NaN,0,60,
2-Indie,F03,SYBR,blaTEM,Unkn,tube 9,10^0,34.18378967,34.18378967,0,NaN,NaN,NaN,0,60,
2-Indie,F04,SYBR,blaTEM,Unkn,tube 9,10^0,35.10727262,35.10727262,0,NaN,NaN,NaN,0,60,
3-musk,F05,SYBR,blaTEM,Unkn,tube 9,10^0,9.07974285,9.07974285,0,NaN,NaN,NaN,0,60,
3-musk,F06,SYBR,blaTEM,Unkn,T3-gDNA,ID-326,33.01409731,33.01409731,0,NaN,NaN,NaN,0,60,
4-unicorn,F07,SYBR,tetW,Unkn,tube 9,10^0,33.21643944,33.21643944,0,NaN,NaN,NaN,0,60,
4-unicorn,F08,SYBR,tetW,Unkn,tube 9,10^0,33.22710202,33.22710202,0,NaN,NaN,NaN,0,60,
5-okazaki,F09,SYBR,tetW,Unkn,tube 9,10^0,28.62785051,28.62785051,0,NaN,NaN,NaN,0,60,
5-okazaki,F10,SYBR,tetW,Unkn,tube 9,10^0,27.99708119,27.99708119,0,NaN,NaN,NaN,0,60,
6-waffle,F11,SYBR,tetW,Unkn,tube 9,10^0,11.02299471,11.02299471,0,NaN,NaN,NaN,0,60,
6-waffle,F12,SYBR,tetW,Unkn,T6-gDNA,ID-3,30.38589682,30.38589682,0,NaN,NaN,NaN,0,60,
1-Goat,G01,SYBR,blaTEM,Unkn,T1-gDNA,rep1,31.18948565,31.18948565,0,NaN,NaN,NaN,0,60,
1-Goat,G02,SYBR,blaTEM,Unkn,T1-gDNA,rep2,32.24464089,32.24464089,0,NaN,NaN,NaN,0,60,
2-Indie,G03,SYBR,blaTEM,Unkn,T2-gDNA,rep1,32.70848964,32.70848964,0,NaN,NaN,NaN,0,60,
2-Indie,G04,SYBR,blaTEM,Unkn,T2-gDNA,rep2,32.32236397,32.32236397,0,NaN,NaN,NaN,0,60,
3-musk,G05,SYBR,blaTEM,Unkn,T3-gDNA,rep1,33.32572948,33.32572948,0,NaN,NaN,NaN,0,60,
3-musk,G06,SYBR,blaTEM,Unkn,T3-gDNA,rep2,32.31782177,32.31782177,0,NaN,NaN,NaN,0,60,
4-unicorn,G07,SYBR,tetW,Unkn,T4-gDNA,rep1,28.24524567,28.24524567,0,NaN,NaN,NaN,0,60,
4-unicorn,G08,SYBR,tetW,Unkn,T4-gDNA,rep2,28.25661078,28.25661078,0,NaN,NaN,NaN,0,60,
5-okazaki,G09,SYBR,tetW,Unkn,T5-gDNA,rep1,16.17242743,16.17242743,0,NaN,NaN,NaN,0,60,
5-okazaki,G10,SYBR,tetW,Unkn,T5-gDNA,rep2,15.44297281,15.44297281,0,NaN,NaN,NaN,0,60,
6-waffle,G11,SYBR,tetW,Unkn,T6-gDNA,rep1,16.78668243,16.78668243,0,NaN,NaN,NaN,0,60,
6-waffle,G12,SYBR,tetW,Unkn,T6-gDNA,rep2,24.95767382,24.95767382,0,NaN,NaN,NaN,0,60,
1-Goat,H01,SYBR,blaTEM,Unkn,Negative control,,33.17585571,33.17585571,0,NaN,NaN,NaN,0,60,
1-Goat,H02,SYBR,blaTEM,Unkn,E.coli gDNA,positive control,30.43580056,30.43580056,0,NaN,NaN,NaN,0,60,
2-Indie,H03,SYBR,blaTEM,Unkn,Negative control,,32.31537841,32.31537841,0,NaN,NaN,NaN,0,60,
2-Indie,H04,SYBR,blaTEM,Unkn,E.coli gDNA,positive control,32.4696464,32.4696464,0,NaN,NaN,NaN,0,60,
3-musk,H05,SYBR,blaTEM,Unkn,Negative control,,33.21454617,33.21454617,0,NaN,NaN,NaN,0,60,
3-musk,H06,SYBR,blaTEM,Unkn,E.coli gDNA,positive control,31.73206663,31.73206663,0,NaN,NaN,NaN,0,60,
4-unicorn,H07,SYBR,tetW,Unkn,Negative control,,32.06723326,32.06723326,0,NaN,NaN,NaN,0,60,
4-unicorn,H08,SYBR,tetW,Unkn,E.coli gDNA,positive control,33.57399012,33.57399012,0,NaN,NaN,NaN,0,60,
5-okazaki,H09,SYBR,tetW,Unkn,Negative control,,28.18939249,28.18939249,0,NaN,NaN,NaN,0,60,
5-okazaki,H10,SYBR,tetW,Unkn,E.coli gDNA,positive control,28.09768362,28.09768362,0,NaN,NaN,NaN,0,60,
6-waffle,H11,SYBR,tetW,Unkn,Negative control,,32.13279589,32.13279589,0,NaN,NaN,NaN,0,60,
6-waffle,H12,SYBR,tetW,Unkn,E.coli gDNA,positive control,NaN,0,0,NaN,NaN,0,0,60,
